Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1658993063.4832845, 55.0, 55.0, 1.0, 16000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_2 (V),VsCH_3 (V),VsCH_4 (V),VsCH_5 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),IsCH_1 (A),IsCH_2 (A),IsCH_3 (A),IsCH_4 (A),IsCH_5 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),TsCH_1 (s),TsCH_2 (s),TsCH_3 (s),TsCH_4 (s),TsCH_5 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s)
55.0,54.7454,0.00630,5.54069e+01,5.61915e+01,5.60688e+01,5.60707e+01,5.66156e+01,5.65725e+01,5.65744e+01,5.65985e+01,5.66236e+01,5.65919e+01,5.66029e+01,2.23140e-05,9.23419e-06,1.12793e-05,1.12484e-05,2.16397e-06,2.88207e-06,2.85136e-06,2.44847e-06,2.03021e-06,2.55934e-06,2.37606e-06,1658993205.18519,1658993205.6479316,1658993206.1090226,1658993206.5715065,1658993207.034145,1658993207.497422,1658993207.9601288,1658993208.422627,1658993208.885251,1658993209.3478475,1658993209.810541
55.0,54.7452,0.00630,5.54067e+01,5.61911e+01,5.60690e+01,5.60695e+01,5.66155e+01,5.65723e+01,5.65679e+01,5.65983e+01,5.66232e+01,5.65908e+01,5.66058e+01,2.23137e-05,9.23807e-06,1.12723e-05,1.12638e-05,2.16199e-06,2.88280e-06,2.95520e-06,2.44968e-06,2.03358e-06,2.57322e-06,2.32318e-06,1658993211.8342845,1658993212.2977843,1658993212.7639837,1658993213.2276409,1658993213.6902816,1658993214.1530547,1658993214.615678,1658993215.0783246,1658993215.541198,1658993216.0036428,1658993216.4662647
55.0,54.7451,0.00630,5.54066e+01,5.61911e+01,5.60688e+01,5.60702e+01,5.66149e+01,5.65715e+01,5.65729e+01,5.65984e+01,5.66230e+01,5.65908e+01,5.66030e+01,2.23135e-05,9.23485e-06,1.12752e-05,1.12517e-05,2.17084e-06,2.89336e-06,2.87074e-06,2.44574e-06,2.03475e-06,2.57226e-06,2.36911e-06,1658993218.503097,1658993218.9734108,1658993219.4360929,1658993219.8987129,1658993220.3610103,1658993220.8237681,1658993221.2867863,1658993221.7494447,1658993222.212034,1658993222.6745892,1658993223.1370947
55.0,54.7456,0.00630,5.54072e+01,5.61914e+01,5.60688e+01,5.60700e+01,5.66163e+01,5.65732e+01,5.65651e+01,5.65992e+01,5.66244e+01,5.65920e+01,5.66027e+01,2.23121e-05,9.23964e-06,1.12826e-05,1.12629e-05,2.15509e-06,2.87407e-06,3.00991e-06,2.44097e-06,2.02078e-06,2.56042e-06,2.38193e-06,1658993225.1679306,1658993225.6292698,1658993226.09166,1658993226.5541997,1658993227.0173428,1658993227.4799023,1658993227.9429326,1658993228.4053967,1658993228.8680904,1658993229.330717,1658993229.7933047
55.0,54.7449,0.00630,5.54065e+01,5.61909e+01,5.60689e+01,5.60701e+01,5.66147e+01,5.65715e+01,5.65629e+01,5.65991e+01,5.66237e+01,5.65904e+01,5.66027e+01,2.23128e-05,9.23562e-06,1.12701e-05,1.12492e-05,2.17059e-06,2.89054e-06,3.03489e-06,2.43089e-06,2.02083e-06,2.57600e-06,2.37100e-06,1658993231.819427,1658993232.2848506,1658993232.7474854,1658993233.2101457,1658993233.6731775,1658993234.135707,1658993234.6011028,1658993235.063674,1658993235.5250912,1658993235.987765,1658993236.4504035
55.0,54.7455,0.00630,5.54070e+01,5.61916e+01,5.60687e+01,5.60705e+01,5.66166e+01,5.65723e+01,5.65681e+01,5.65982e+01,5.66240e+01,5.65916e+01,5.66030e+01,2.23146e-05,9.23317e-06,1.12824e-05,1.12535e-05,2.14957e-06,2.88751e-06,2.95718e-06,2.45617e-06,2.02507e-06,2.56503e-06,2.37557e-06,1658993238.4752336,1658993238.9374387,1658993239.400024,1658993239.8625445,1658993240.3250883,1658993240.7877314,1658993241.2503765,1658993241.7138324,1658993242.176968,1658993242.6394753,1658993243.1020377
55.0,54.7455,0.00630,5.54070e+01,5.61917e+01,5.60696e+01,5.60704e+01,5.66160e+01,5.65711e+01,5.65729e+01,5.65993e+01,5.66242e+01,5.65911e+01,5.66032e+01,2.23133e-05,9.23230e-06,1.12683e-05,1.12547e-05,2.15958e-06,2.90743e-06,2.87664e-06,2.43735e-06,2.02294e-06,2.57458e-06,2.37300e-06,1658993245.1225297,1658993245.5919695,1658993246.0545816,1658993246.517157,1658993246.9796488,1658993247.4423916,1658993247.9051592,1658993248.3676853,1658993248.8307545,1658993249.2933571,1658993249.7559211
55.0,54.7455,0.00630,5.54069e+01,5.61915e+01,5.60692e+01,5.60707e+01,5.66153e+01,5.65727e+01,5.65674e+01,5.65986e+01,5.66236e+01,5.65909e+01,5.66029e+01,2.23151e-05,9.23492e-06,1.12738e-05,1.12503e-05,2.17114e-06,2.88101e-06,2.96853e-06,2.44880e-06,2.03150e-06,2.57673e-06,2.37740e-06,1658993251.797601,1658993252.2609599,1658993252.723513,1658993253.1861284,1658993253.649023,1658993254.116757,1658993254.580691,1658993255.0431042,1658993255.505396,1658993255.9679732,1658993256.432736
55.0,54.7456,0.00630,5.54072e+01,5.61915e+01,5.60698e+01,5.60710e+01,5.66157e+01,5.65723e+01,5.65708e+01,5.65997e+01,5.66240e+01,5.65912e+01,5.66063e+01,2.23128e-05,9.23697e-06,1.12658e-05,1.12461e-05,2.16548e-06,2.88877e-06,2.91455e-06,2.43213e-06,2.02737e-06,2.57454e-06,2.32302e-06,1658993258.4526365,1658993258.9152446,1658993259.3773198,1658993259.8399794,1658993260.301911,1658993260.7635915,1658993261.2262726,1658993261.6890745,1658993262.155995,1658993262.6186473,1658993263.0812826
55.0,54.7459,0.00630,5.54074e+01,5.61921e+01,5.60702e+01,5.60707e+01,5.66161e+01,5.65726e+01,5.65690e+01,5.65999e+01,5.66245e+01,5.65923e+01,5.66032e+01,2.23142e-05,9.23288e-06,1.12639e-05,1.12563e-05,2.16313e-06,2.88956e-06,2.94913e-06,2.43409e-06,2.02347e-06,2.56141e-06,2.37965e-06,1658993265.1132696,1658993265.5768611,1658993266.0396175,1658993266.5026565,1658993266.9651985,1658993267.427932,1658993267.8904066,1658993268.3535686,1658993268.8162966,1658993269.2773798,1658993269.740048
