Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659607998.5577476, 51.0, 51.0, 0.1, 800000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.731,0.00290,5.27305e+01,5.27307e+01,5.27307e+01,5.27306e+01,5.27306e+01,5.27303e+01,5.27307e+01,5.27304e+01,5.27307e+01,5.27307e+01,7.60953e-09,5.24521e-09,4.71870e-09,7.11282e-09,6.59625e-09,1.13646e-08,4.98692e-09,9.43740e-09,5.66244e-09,4.72864e-09,1659608130.7361999,1659608131.1989193,1659608131.6637573,1659608132.1262834,1659608132.5885487,1659608133.0535238,1659608133.5158813,1659608133.9783907,1659608134.440843,1659608134.903844
51.0,50.7304,0.00290,5.27299e+01,5.27302e+01,5.27301e+01,5.27299e+01,5.27299e+01,5.27298e+01,5.27301e+01,5.27300e+01,5.27300e+01,5.27302e+01,8.42412e-09,3.85443e-09,5.03659e-09,9.07977e-09,8.21551e-09,1.07984e-08,5.71211e-09,6.08961e-09,6.26842e-09,3.30806e-09,1659608136.9189768,1659608137.3820047,1659608137.8444405,1659608138.3119226,1659608138.7762802,1659608139.238755,1659608139.7018096,1659608140.164348,1659608140.6268764,1659608141.091707
51.0,50.7309,0.00290,5.27303e+01,5.27304e+01,5.27308e+01,5.27304e+01,5.27304e+01,5.27300e+01,5.27306e+01,5.27305e+01,5.27305e+01,5.27306e+01,9.56655e-09,7.53999e-09,1.31130e-09,8.15590e-09,7.98702e-09,1.54277e-08,5.21541e-09,5.88099e-09,6.14921e-09,4.57962e-09,1659608143.1319277,1659608143.595888,1659608144.0583026,1659608144.5206034,1659608144.9837463,1659608145.4508436,1659608145.9133599,1659608146.3765864,1659608146.839899,1659608147.3044322
51.0,50.7304,0.00290,5.27299e+01,5.27301e+01,5.27303e+01,5.27300e+01,5.27299e+01,5.27296e+01,5.27301e+01,5.27301e+01,5.27302e+01,5.27301e+01,7.94729e-09,5.52336e-09,2.46366e-09,6.80486e-09,7.71880e-09,1.40468e-08,4.41074e-09,5.03659e-09,3.91404e-09,5.66244e-09,1659608149.334816,1659608149.7974188,1659608150.2669997,1659608150.7296884,1659608151.1920774,1659608151.6546025,1659608152.1173377,1659608152.5813916,1659608153.044645,1659608153.5077152
51.0,50.7311,0.00290,5.27306e+01,5.27308e+01,5.27309e+01,5.27308e+01,5.27307e+01,5.27303e+01,5.27308e+01,5.27308e+01,5.27308e+01,5.27309e+01,7.65920e-09,4.54982e-09,3.10938e-09,5.62270e-09,6.44724e-09,1.32024e-08,5.36442e-09,5.21541e-09,4.63923e-09,2.62260e-09,1659608155.538259,1659608156.0003033,1659608156.4628127,1659608156.9255116,1659608157.3879473,1659608157.851757,1659608158.314326,1659608158.7757468,1659608159.2382548,1659608159.7014515
51.0,50.7307,0.00290,5.27303e+01,5.27305e+01,5.27305e+01,5.27303e+01,5.27302e+01,5.27300e+01,5.27305e+01,5.27302e+01,5.27302e+01,5.27304e+01,6.59625e-09,3.75509e-09,2.77162e-09,7.27177e-09,7.97709e-09,1.23878e-08,3.61602e-09,7.91748e-09,8.06650e-09,5.78165e-09,1659608161.733523,1659608162.195992,1659608162.65865,1659608163.119961,1659608163.582608,1659608164.0451088,1659608164.50822,1659608164.9706962,1659608165.4331608,1659608165.8960588
51.0,50.73,0.00290,5.27296e+01,5.27298e+01,5.27298e+01,5.27296e+01,5.27297e+01,5.27292e+01,5.27297e+01,5.27296e+01,5.27295e+01,5.27297e+01,6.56645e-09,3.51667e-09,3.02990e-09,6.45717e-09,5.71211e-09,1.25368e-08,5.64257e-09,7.32144e-09,7.68900e-09,5.17567e-09,1659608167.9277925,1659608168.3901854,1659608168.8522482,1659608169.314789,1659608169.7761667,1659608170.2388456,1659608170.7013955,1659608171.1648505,1659608171.6325028,1659608172.0957944
51.0,50.7309,0.00290,5.27304e+01,5.27306e+01,5.27307e+01,5.27304e+01,5.27305e+01,5.27301e+01,5.27307e+01,5.27304e+01,5.27305e+01,5.27306e+01,7.91748e-09,4.55976e-09,4.01338e-09,8.55327e-09,7.29163e-09,1.30932e-08,3.26832e-09,8.12610e-09,6.52671e-09,5.50350e-09,1659608174.1223435,1659608174.5844393,1659608175.0488353,1659608175.5116878,1659608175.9741795,1659608176.4363718,1659608176.8989763,1659608177.3614407,1659608177.8248582,1659608178.288068
51.0,50.7303,0.00290,5.27298e+01,5.27301e+01,5.27302e+01,5.27299e+01,5.27299e+01,5.27294e+01,5.27300e+01,5.27299e+01,5.27299e+01,5.27301e+01,8.64267e-09,3.40740e-09,2.07623e-09,7.35124e-09,6.80486e-09,1.51098e-08,4.67896e-09,6.85453e-09,6.38763e-09,4.12265e-09,1659608180.3153949,1659608180.7813394,1659608181.244486,1659608181.7070343,1659608182.1696503,1659608182.6319945,1659608183.0947084,1659608183.5572972,1659608184.0186784,1659608184.4811487
51.0,50.7304,0.00290,5.27299e+01,5.27301e+01,5.27303e+01,5.27300e+01,5.27298e+01,5.27294e+01,5.27302e+01,5.27300e+01,5.27300e+01,5.27300e+01,8.38439e-09,4.39088e-09,2.12590e-09,6.32803e-09,1.00334e-08,1.64608e-08,2.78155e-09,7.15256e-09,7.46051e-09,6.08961e-09,1659608186.4968092,1659608186.9598382,1659608187.4222248,1659608187.8844538,1659608188.3470457,1659608188.809473,1659608189.2728376,1659608189.7360616,1659608190.198536,1659608190.661065
51.0,50.7302,0.00290,5.27298e+01,5.27300e+01,5.27302e+01,5.27296e+01,5.27296e+01,5.27294e+01,5.27300e+01,5.27299e+01,5.27298e+01,5.27299e+01,6.45717e-09,3.84450e-09,5.96046e-11,9.98378e-09,1.04109e-08,1.37687e-08,3.51667e-09,5.73198e-09,6.03000e-09,5.52336e-09,1659608192.6908107,1659608193.1532567,1659608193.6166494,1659608194.0798533,1659608194.5441675,1659608195.0066583,1659608195.4714632,1659608195.9350054,1659608196.397607,1659608196.8599572
51.0,50.7299,0.00290,5.27295e+01,5.27298e+01,5.27297e+01,5.27296e+01,5.27294e+01,5.27291e+01,5.27297e+01,5.27295e+01,5.27295e+01,5.27296e+01,6.31809e-09,1.04308e-09,3.34779e-09,5.04653e-09,8.60294e-09,1.27256e-08,4.15246e-09,6.65585e-09,6.80486e-09,4.43061e-09,1659608198.8702307,1659608199.3371332,1659608199.7999465,1659608200.2655513,1659608200.7280304,1659608201.1906154,1659608201.6533213,1659608202.116261,1659608202.5788112,1659608203.0413654
51.0,50.7295,0.00290,5.27292e+01,5.27292e+01,5.27293e+01,5.27291e+01,5.27292e+01,5.27286e+01,5.27291e+01,5.27289e+01,5.27292e+01,5.27291e+01,5.34455e-09,4.93725e-09,3.06964e-09,7.18236e-09,4.96705e-09,1.53780e-08,6.07967e-09,9.79503e-09,5.75185e-09,6.65585e-09,1659608205.0637336,1659608205.5274098,1659608205.9899151,1659608206.452314,1659608206.9147675,1659608207.3772564,1659608207.8403432,1659608208.302883,1659608208.7653706,1659608209.2286808
51.0,50.7294,0.00290,5.27290e+01,5.27292e+01,5.27291e+01,5.27290e+01,5.27289e+01,5.27285e+01,5.27291e+01,5.27290e+01,5.27291e+01,5.27291e+01,7.24196e-09,3.78489e-09,4.49022e-09,6.44724e-09,7.65920e-09,1.45038e-08,4.50015e-09,7.31150e-09,4.97699e-09,4.89751e-09,1659608211.2405322,1659608211.7030303,1659608212.1656332,1659608212.6279547,1659608213.0906234,1659608213.5533426,1659608214.016,1659608214.478493,1659608214.9411488,1659608215.4040675
51.0,50.7309,0.00290,5.27304e+01,5.27307e+01,5.27307e+01,5.27305e+01,5.27303e+01,5.27300e+01,5.27307e+01,5.27304e+01,5.27306e+01,5.27306e+01,8.04663e-09,3.90410e-09,3.08951e-09,6.42737e-09,1.06692e-08,1.51296e-08,3.31799e-09,7.78834e-09,5.56310e-09,5.39422e-09,1659608217.419365,1659608217.8817601,1659608218.344086,1659608218.8066044,1659608219.2691567,1659608219.736948,1659608220.2000227,1659608220.6624734,1659608221.1250503,1659608221.588094
51.0,50.7292,0.00290,5.27288e+01,5.27291e+01,5.27290e+01,5.27288e+01,5.27285e+01,5.27282e+01,5.27290e+01,5.27288e+01,5.27288e+01,5.27288e+01,6.51677e-09,2.46366e-09,3.46700e-09,7.05322e-09,1.11262e-08,1.60336e-08,3.51667e-09,6.47704e-09,7.44065e-09,7.07308e-09,1659608223.597145,1659608224.0644655,1659608224.5262134,1659608224.9882114,1659608225.4508107,1659608225.913547,1659608226.3759792,1659608226.8384063,1659608227.3026385,1659608227.7651742
51.0,50.7312,0.00290,5.27306e+01,5.27309e+01,5.27310e+01,5.27308e+01,5.27307e+01,5.27302e+01,5.27309e+01,5.27309e+01,5.27309e+01,5.27309e+01,9.79503e-09,5.16574e-09,3.32793e-09,7.11282e-09,7.84794e-09,1.62423e-08,4.59949e-09,5.73198e-09,4.84784e-09,4.84784e-09,1659608229.7805712,1659608230.2457757,1659608230.7081964,1659608231.1706774,1659608231.6333623,1659608232.0965395,1659608232.5590317,1659608233.02155,1659608233.4840162,1659608233.9463305
51.0,50.7315,0.00290,5.27310e+01,5.27314e+01,5.27313e+01,5.27310e+01,5.27312e+01,5.27307e+01,5.27312e+01,5.27312e+01,5.27311e+01,5.27312e+01,8.92083e-09,2.16564e-09,2.57293e-09,8.63274e-09,5.25514e-09,1.34706e-08,5.18560e-09,5.55317e-09,6.73532e-09,4.35114e-09,1659608235.9716637,1659608236.4341464,1659608236.8956656,1659608237.3580902,1659608237.8208926,1659608238.2825475,1659608238.745664,1659608239.2083619,1659608239.6709168,1659608240.135914
51.0,50.7302,0.00290,5.27298e+01,5.27299e+01,5.27300e+01,5.27297e+01,5.27297e+01,5.27294e+01,5.27300e+01,5.27298e+01,5.27298e+01,5.27300e+01,6.31809e-09,5.83132e-09,3.50674e-09,7.88768e-09,7.77841e-09,1.40866e-08,4.11272e-09,6.61612e-09,6.53664e-09,3.31799e-09,1659608242.1451619,1659608242.6079335,1659608243.0717907,1659608243.5342393,1659608243.9963548,1659608244.458897,1659608244.9213707,1659608245.3853776,1659608245.8480773,1659608246.3106933
51.0,50.7305,0.00290,5.27300e+01,5.27302e+01,5.27303e+01,5.27300e+01,5.27301e+01,5.27296e+01,5.27303e+01,5.27303e+01,5.27300e+01,5.27301e+01,7.53005e-09,4.52995e-09,2.70208e-09,7.66913e-09,6.74526e-09,1.44740e-08,3.11931e-09,3.81470e-09,8.32478e-09,5.98033e-09,1659608248.3278186,1659608248.7902496,1659608249.253459,1659608249.7167838,1659608250.1859581,1659608250.648126,1659608251.1107445,1659608251.5732026,1659608252.0360765,1659608252.4985332
51.0,50.7294,0.00290,5.27289e+01,5.27293e+01,5.27292e+01,5.27289e+01,5.27289e+01,5.27285e+01,5.27291e+01,5.27290e+01,5.27291e+01,5.27291e+01,8.37445e-09,2.16564e-09,3.67562e-09,9.07977e-09,8.48373e-09,1.42952e-08,5.22534e-09,6.74526e-09,4.71870e-09,4.88758e-09,1659608254.5068786,1659608254.969395,1659608255.4326665,1659608255.8959334,1659608256.3583252,1659608256.8203604,1659608257.2829847,1659608257.7455795,1659608258.2079356,1659608258.670606
51.0,50.73,0.00290,5.27296e+01,5.27297e+01,5.27298e+01,5.27296e+01,5.27296e+01,5.27291e+01,5.27297e+01,5.27298e+01,5.27296e+01,5.27296e+01,6.64592e-09,5.48363e-09,2.72195e-09,6.66579e-09,7.32144e-09,1.43747e-08,4.75844e-09,4.03325e-09,6.35783e-09,6.27836e-09,1659608260.699826,1659608261.1622016,1659608261.6244361,1659608262.0869994,1659608262.549378,1659608263.0125628,1659608263.4750485,1659608263.9376578,1659608264.4001052,1659608264.8628194
51.0,50.7309,0.00290,5.27305e+01,5.27306e+01,5.27307e+01,5.27305e+01,5.27304e+01,5.27302e+01,5.27307e+01,5.27306e+01,5.27305e+01,5.27305e+01,6.82473e-09,5.37435e-09,3.21865e-09,7.19229e-09,7.57972e-09,1.20997e-08,2.72195e-09,5.25514e-09,6.09954e-09,6.31809e-09,1659608266.8840566,1659608267.3466156,1659608267.809542,1659608268.2720532,1659608268.734571,1659608269.1970692,1659608269.660099,1659608270.1226058,1659608270.5853379,1659608271.0509417
51.0,50.7311,0.00290,5.27306e+01,5.27308e+01,5.27311e+01,5.27308e+01,5.27304e+01,5.27303e+01,5.27308e+01,5.27308e+01,5.27306e+01,5.27310e+01,9.07977e-09,5.81145e-09,7.94729e-10,5.02666e-09,1.17719e-08,1.39972e-08,5.66244e-09,5.27501e-09,7.58966e-09,2.49346e-09,1659608273.0600128,1659608273.522432,1659608273.9838903,1659608274.4463022,1659608274.908315,1659608275.3709972,1659608275.8335075,1659608276.2972848,1659608276.7602897,1659608277.2228863
51.0,50.7304,0.00290,5.27299e+01,5.27302e+01,5.27303e+01,5.27300e+01,5.27298e+01,5.27295e+01,5.27302e+01,5.27301e+01,5.27299e+01,5.27301e+01,8.69234e-09,3.18885e-09,2.31465e-09,7.06315e-09,9.79503e-09,1.54674e-08,3.67562e-09,5.54323e-09,8.05656e-09,5.30481e-09,1659608279.2523077,1659608279.7159526,1659608280.1784048,1659608280.6408713,1659608281.1086404,1659608281.5718904,1659608282.034321,1659608282.4967318,1659608282.9599144,1659608283.4223826
51.0,50.7299,0.00290,5.27295e+01,5.27297e+01,5.27296e+01,5.27295e+01,5.27294e+01,5.27292e+01,5.27297e+01,5.27295e+01,5.27296e+01,5.27297e+01,6.11941e-09,2.98023e-09,4.82798e-09,5.90086e-09,8.27511e-09,1.22289e-08,4.02331e-09,7.03335e-09,5.40415e-09,2.96036e-09,1659608285.443854,1659608285.9064882,1659608286.3688955,1659608286.8321714,1659608287.2949862,1659608287.7576432,1659608288.2201035,1659608288.682916,1659608289.1461537,1659608289.608716
51.0,50.7301,0.00290,5.27296e+01,5.27298e+01,5.27299e+01,5.27298e+01,5.27297e+01,5.27292e+01,5.27298e+01,5.27297e+01,5.27297e+01,5.27299e+01,7.97709e-09,4.25180e-09,3.36766e-09,4.80811e-09,6.95388e-09,1.45733e-08,5.54323e-09,6.05981e-09,5.97040e-09,4.02331e-09,1659608291.6240053,1659608292.0865397,1659608292.5491815,1659608293.0118947,1659608293.4756346,1659608293.939595,1659608294.4030368,1659608294.8656638,1659608295.328085,1659608295.7907102
51.0,50.7302,0.00290,5.27296e+01,5.27298e+01,5.27300e+01,5.27299e+01,5.27297e+01,5.27293e+01,5.27299e+01,5.27298e+01,5.27298e+01,5.27298e+01,9.61622e-09,6.23862e-09,3.31799e-09,4.78824e-09,7.92742e-09,1.56065e-08,4.42068e-09,7.00355e-09,7.41084e-09,6.09954e-09,1659608297.8038719,1659608298.2664492,1659608298.7288182,1659608299.1921535,1659608299.654633,1659608300.1189313,1659608300.5823483,1659608301.0443377,1659608301.5068567,1659608301.9682252
