Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659510796.9714036, 51.0, 51.0, 0.1, 800000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
51.0,50.7289,0.00320,5.12704e+01,5.13115e+01,5.27284e+01,5.27285e+01,5.27284e+01,5.27284e+01,5.27284e+01,5.27271e+01,5.27285e+01,5.27285e+01,5.27285e+01,5.27283e+01,2.43139e-05,2.36297e-05,8.54333e-09,6.65585e-09,8.42412e-09,7.81814e-09,7.97709e-09,2.93851e-08,7.49032e-09,6.34789e-09,6.39757e-09,1.04805e-08,1659510947.8491218,1659510948.3149676,1659510948.7761583,1659510949.2386727,1659510949.7041013,1659510950.1667576,1659510950.6294713,1659510951.092618,1659510951.5558262,1659510952.0227983,1659510952.485593,1659510952.9486313
51.0,50.7302,0.00320,5.12718e+01,5.13125e+01,5.27296e+01,5.27297e+01,5.27299e+01,5.27298e+01,5.27295e+01,5.27284e+01,5.27298e+01,5.27297e+01,5.27298e+01,5.27296e+01,2.43132e-05,2.36339e-05,9.84470e-09,7.98702e-09,5.05646e-09,7.00355e-09,1.11560e-08,2.96831e-08,7.15256e-09,8.89103e-09,7.30157e-09,9.99371e-09,1659510954.9833813,1659510955.4460347,1659510955.9082153,1659510956.3707855,1659510956.8350377,1659510957.297453,1659510957.7607646,1659510958.2239137,1659510958.6875083,1659510959.1501389,1659510959.6123013,1659510960.0746734
51.0,50.7314,0.00320,5.12731e+01,5.13136e+01,5.27309e+01,5.27309e+01,5.27310e+01,5.27309e+01,5.27308e+01,5.27297e+01,5.27310e+01,5.27313e+01,5.27309e+01,5.27307e+01,2.43119e-05,2.36352e-05,7.83801e-09,8.00689e-09,7.17243e-09,8.53340e-09,1.02917e-08,2.90573e-08,6.35783e-09,8.94070e-10,8.66254e-09,1.21891e-08,1659510962.1003573,1659510962.5629401,1659510963.0276718,1659510963.4901836,1659510963.9521635,1659510964.4148965,1659510964.8775082,1659510965.3400397,1659510965.8027127,1659510966.2657185,1659510966.728297,1659510967.190997
51.0,50.7297,0.00320,5.12712e+01,5.13121e+01,5.27293e+01,5.27291e+01,5.27292e+01,5.27293e+01,5.27291e+01,5.27281e+01,5.27292e+01,5.27292e+01,5.27293e+01,5.27290e+01,2.43140e-05,2.36330e-05,6.08961e-09,9.35793e-09,8.37445e-09,6.82473e-09,1.00235e-08,2.72493e-08,7.71880e-09,8.00689e-09,6.88434e-09,1.12851e-08,1659510969.2008252,1659510969.663583,1659510970.1261258,1659510970.5890937,1659510971.0518928,1659510971.5144372,1659510971.9772015,1659510972.4400344,1659510972.9038754,1659510973.3664386,1659510973.8292508,1659510974.2919602
51.0,50.7297,0.00320,5.12712e+01,5.13120e+01,5.27292e+01,5.27291e+01,5.27292e+01,5.27294e+01,5.27291e+01,5.27281e+01,5.27292e+01,5.27294e+01,5.27294e+01,5.27291e+01,2.43148e-05,2.36351e-05,9.13938e-09,9.36786e-09,7.65920e-09,5.16574e-09,9.66589e-09,2.73387e-08,8.02676e-09,5.24521e-09,4.65910e-09,9.58641e-09,1659510976.3031552,1659510976.7657537,1659510977.2280667,1659510977.6918416,1659510978.1542373,1659510978.6161973,1659510979.079655,1659510979.542143,1659510980.0042057,1659510980.4666271,1659510980.929234,1659510981.391934
51.0,50.7294,0.00320,5.12709e+01,5.13116e+01,5.27290e+01,5.27289e+01,5.27291e+01,5.27290e+01,5.27288e+01,5.27277e+01,5.27289e+01,5.27291e+01,5.27290e+01,5.27287e+01,2.43146e-05,2.36352e-05,7.28170e-09,9.06984e-09,5.36442e-09,6.29822e-09,9.71556e-09,2.89182e-08,8.02676e-09,4.94719e-09,7.33137e-09,1.24375e-08,1659510983.4109042,1659510983.8734636,1659510984.3363128,1659510984.798983,1659510985.2615256,1659510985.7240334,1659510986.187903,1659510986.6503937,1659510987.1122992,1659510987.5748458,1659510988.0373306,1659510988.5014825
51.0,50.7295,0.00320,5.12710e+01,5.13119e+01,5.27290e+01,5.27290e+01,5.27290e+01,5.27290e+01,5.27290e+01,5.27278e+01,5.27291e+01,5.27290e+01,5.27291e+01,5.27289e+01,2.43140e-05,2.36328e-05,9.13938e-09,7.95722e-09,8.71221e-09,7.59959e-09,8.56320e-09,2.80142e-08,5.94060e-09,7.62939e-09,6.85453e-09,9.41753e-09,1659510990.5124438,1659510990.9748397,1659510991.4374487,1659510991.9005604,1659510992.363933,1659510992.8309932,1659510993.2935734,1659510993.7559588,1659510994.21865,1659510994.681163,1659510995.1440642,1659510995.6072693
51.0,50.7295,0.00320,5.12712e+01,5.13120e+01,5.27290e+01,5.27291e+01,5.27291e+01,5.27291e+01,5.27290e+01,5.27278e+01,5.27293e+01,5.27291e+01,5.27290e+01,5.27288e+01,2.43112e-05,2.36309e-05,8.35458e-09,7.48038e-09,6.25849e-09,6.68565e-09,8.27511e-09,2.82625e-08,3.71536e-09,6.50684e-09,8.10623e-09,1.09772e-08,1659510997.6237824,1659510998.0861607,1659510998.5481915,1659510999.0107927,1659510999.4733872,1659510999.9361436,1659511000.3986933,1659511000.8600945,1659511001.3225822,1659511001.7851753,1659511002.2479653,1659511002.7103913
51.0,50.731,0.00320,5.12724e+01,5.13133e+01,5.27305e+01,5.27306e+01,5.27306e+01,5.27306e+01,5.27304e+01,5.27292e+01,5.27307e+01,5.27306e+01,5.27305e+01,5.27304e+01,2.43157e-05,2.36349e-05,8.19564e-09,6.33796e-09,7.07308e-09,6.38763e-09,1.01129e-08,2.93354e-08,4.84784e-09,6.84460e-09,7.81814e-09,1.01030e-08,1659511004.7535737,1659511005.215891,1659511005.6829267,1659511006.1456292,1659511006.6079662,1659511007.0704834,1659511007.532926,1659511007.996135,1659511008.458591,1659511008.9216256,1659511009.3843188,1659511009.8468757
51.0,50.729,0.00320,5.12706e+01,5.13114e+01,5.27285e+01,5.27284e+01,5.27285e+01,5.27286e+01,5.27285e+01,5.27273e+01,5.27287e+01,5.27286e+01,5.27285e+01,5.27284e+01,2.43129e-05,2.36322e-05,7.86781e-09,1.02222e-08,8.14597e-09,7.38104e-09,8.33472e-09,2.86599e-08,5.70218e-09,6.14921e-09,8.31485e-09,1.06494e-08,1659511011.8692162,1659511012.3322592,1659511012.7947762,1659511013.257308,1659511013.720536,1659511014.183754,1659511014.6462407,1659511015.1087022,1659511015.571693,1659511016.0371282,1659511016.5046968,1659511016.967774
