Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659849617.2475626, 55.0, 55.0, 5.0, 5000, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_16 (V),IsCH_16 (A),TsCH_16 (s)
55.0,54.7471,0.02230,5.66377e+01,1.82373e-06,1659849891.3955846
55.0,54.7462,0.02230,5.66374e+01,1.81355e-06,1659849893.4063132
55.0,54.7464,0.02230,5.66370e+01,1.82415e-06,1659849895.4248438
55.0,54.7472,0.02230,5.66380e+01,1.82083e-06,1659849897.4390166
55.0,54.7463,0.02230,5.66372e+01,1.81946e-06,1659849899.458584
55.0,54.746,0.02230,5.66338e+01,1.87049e-06,1659849901.475777
55.0,54.7471,0.02230,5.66343e+01,1.88085e-06,1659849903.4970667
55.0,54.7475,0.02230,5.66389e+01,1.81113e-06,1659849905.517268
55.0,54.7471,0.02230,5.66377e+01,1.82307e-06,1659849907.5291777
55.0,54.7462,0.02230,5.66334e+01,1.88030e-06,1659849909.5516577
55.0,54.746,0.02230,5.66338e+01,1.87130e-06,1659849911.55928
55.0,54.747,0.02230,5.66346e+01,1.87363e-06,1659849913.5757754
55.0,54.7462,0.02230,5.66338e+01,1.87437e-06,1659849915.5917997
55.0,54.7463,0.02230,5.66336e+01,1.87939e-06,1659849917.6082466
55.0,54.7459,0.02230,5.66337e+01,1.87094e-06,1659849919.6163545
55.0,54.7464,0.02230,5.66348e+01,1.86114e-06,1659849921.6286552
55.0,54.7462,0.02230,5.66343e+01,1.86578e-06,1659849923.6511505
55.0,54.747,0.02230,5.66345e+01,1.87555e-06,1659849925.6676798
55.0,54.7466,0.02230,5.66345e+01,1.86847e-06,1659849927.6858695
55.0,54.7461,0.02230,5.66324e+01,1.89629e-06,1659849929.6990988
55.0,54.7476,0.02230,5.66353e+01,1.87213e-06,1659849931.708412
55.0,54.7465,0.02230,5.66346e+01,1.86502e-06,1659849933.7189422
55.0,54.7459,0.02230,5.66335e+01,1.87397e-06,1659849935.7346988
55.0,54.7465,0.02230,5.66340e+01,1.87474e-06,1659849937.755052
