Repeat,VAR2,Point,CH1 Voltage,CH1 Current,CH1 Time,CH1 Source
1,1,166,23.00000E-006,796.29300E-015,30.47615E+000,0.00000E+000
1,1,167,43.00000E-006,795.17300E-015,30.68248E+000,0.00000E+000
1,1,168,-5.00000E-006,789.78100E-015,30.85753E+000,0.00000E+000
1,1,169,45.00000E-006,791.57900E-015,31.03252E+000,0.00000E+000
1,1,170,8.00000E-006,794.23700E-015,31.24201E+000,0.00000E+000
1,1,171,47.00000E-006,792.92200E-015,31.41606E+000,0.00000E+000
1,1,172,-8.00000E-006,791.92600E-015,31.59069E+000,0.00000E+000
1,1,173,48.00000E-006,791.21800E-015,31.79611E+000,0.00000E+000
1,1,174,-7.00000E-006,797.09700E-015,31.97121E+000,0.00000E+000
1,1,175,36.00000E-006,797.31400E-015,32.14523E+000,0.00000E+000
1,1,176,46.00000E-006,800.15400E-015,32.34973E+000,0.00000E+000
1,1,177,-6.00000E-006,788.30800E-015,32.52533E+000,0.00000E+000
1,1,178,41.00000E-006,796.32500E-015,32.70070E+000,0.00000E+000
1,1,179,-10.00000E-006,798.78500E-015,32.89034E+000,0.00000E+000
1,1,180,47.00000E-006,801.62900E-015,33.06437E+000,0.00000E+000
1,1,181,20.00000E-006,795.93000E-015,33.24498E+000,0.00000E+000
1,1,182,15.00000E-006,804.14700E-015,33.46115E+000,0.00000E+000
1,1,183,-8.00000E-006,806.05600E-015,33.64175E+000,0.00000E+000
1,1,184,44.00000E-006,805.86200E-015,33.81580E+000,0.00000E+000
1,1,185,30.00000E-006,805.72200E-015,34.01894E+000,0.00000E+000
1,1,186,-1.00000E-006,812.27400E-015,34.19297E+000,0.00000E+000
1,1,187,-3.00000E-006,819.35400E-015,34.37544E+000,0.00000E+000
1,1,188,38.00000E-006,823.93100E-015,34.58157E+000,0.00000E+000
1,1,189,6.00000E-006,821.70600E-015,34.75563E+000,0.00000E+000
1,1,190,21.00000E-006,821.61500E-015,34.92967E+000,0.00000E+000
1,1,191,32.00000E-006,820.29400E-015,35.13559E+000,0.00000E+000
1,1,192,1.00000E-006,810.61800E-015,35.30961E+000,0.00000E+000
1,1,193,33.00000E-006,808.03000E-015,35.48456E+000,0.00000E+000
1,1,194,3.00000E-006,806.82100E-015,35.69155E+000,0.00000E+000
1,1,195,28.00000E-006,798.93000E-015,35.86925E+000,0.00000E+000
1,1,196,20.00000E-006,800.35400E-015,36.04649E+000,0.00000E+000
1,1,197,20.00000E-006,798.29800E-015,36.25393E+000,0.00000E+000
1,1,198,14.00000E-006,791.46000E-015,36.42840E+000,0.00000E+000
1,1,199,21.00000E-006,790.04700E-015,36.60448E+000,0.00000E+000
1,1,200,11.00000E-006,785.74200E-015,36.80922E+000,0.00000E+000
1,1,201,25.00000E-006,789.60800E-015,36.98322E+000,0.00000E+000
1,1,202,12.00000E-006,794.27900E-015,37.15726E+000,0.00000E+000
1,1,203,15.00000E-006,804.04000E-015,37.37333E+000,0.00000E+000
1,1,204,19.00000E-006,806.58900E-015,37.54737E+000,0.00000E+000
1,1,205,18.00000E-006,808.52000E-015,37.72139E+000,0.00000E+000
1,1,206,17.00000E-006,802.74000E-015,37.92837E+000,0.00000E+000
